macro_topic,micro_topic_id,note_count,keywords,confidence,representative_docs
AI内容创作,7,625,"ai绘画, 头像, aigc, 壁纸, midjourney, 绘画, ai, 插画",0.8977,折花赠佳人 首图不断 原 垫 商 二改 结缘买断 p拿图留痕 建崽标源 ai绘画 mj ai 星野 头像 壁纸 mj绘画 rubii mufy 猫箱; 不良 oioioi 不良少年 但黑发MJ跑图练习头像 壁纸自取 垫崽注明出处 商用 二改二传 原图上传图片由ai生成 注意避雷 ai ai绘画 midjourney 垫崽 猫箱 星野 筑梦岛 壁纸 头像 AIGC
AI内容创作,17,195,"写小说, 网文, 写网文, 小说写作干货, 网络小说, 网文作者, ai写作, 我的写作日常",0.9079,用豆包一晚上生成 篇小说竟然都过了 写网文 AI写作 写小说赚钱 网络小说 写作赚钱 写小说 网文作者 我的写作日常 自己写小说 小说写作干货 写作技巧 网文; 我好像真的学会了怎么写小说 写网文 写小说赚钱 写作灵感 AI写作 写小说 写作赚钱 我的写作日常 小说写作干货 网络小说 网文 小说写作灵感 写作技巧 小说写作素材
AI内容创作,18,157,"suno, ai音乐, 音乐制作, 编曲, 与音乐的日常, 流行音乐, 泡沫, 音乐",0.8755,ai写歌 虽然恶心但一周 与音乐的日常 我的宝藏歌单 音乐制作 音乐热爱者 编曲 流行音乐 ai音乐 ai音乐人 suno ai音乐创作; 我发现用Suno出歌效率低的人都有一个通病 音乐制作 suno ai音乐 编曲 AI工具 流行音乐 混音 音乐热爱者
AI内容创作,20,119,"ai漫剧, ai动画, 短剧, ai短剧, ai视频, 漫剧, ai工具, aigc",0.943,想入行AI漫剧的存下吧 很难找全了 宝藏AI工具站 绘画生成 Midjourney Stable Diffusion Leonardo动画生成 Runway Pika Labs LeiaPix智能配音 剪映AI配音 微软Azure Resemble AI 漫剧创作软件指南 专业级 Adobe After Effects AI插件 Blender新手友好 万兴喵影 来画动画手机快创 必剪 Canva动画 秀漫 插件与模型库 风格模型 Civitai LiblibAI 模型推荐AI增效 Krea实时生成 Topaz Gigapixel自动字幕 剪映智能字幕 Arctime Pro 效率提升神器 提示词管理 Draw Things PromptBase素材整理 Eagle Billfish批量处理 Python脚本 自动化工作流 接单变现通道 主推平台 抖音创作人中心 B站充电计划 淘宝素材店铺练手接单 米画师 站酷海洛 闲鱼商单个人品牌 持续更新AI作品集 多平台账号运营 进阶学习路径 免费教程 AI魔法学院 芦苇科技课 ChatGPT百科系统课程 Udemy AI动画课 Coursera数字叙事实战成长 参加AI创作大赛 接商单打磨技能这些干货现在接住还不晚 其实缺的不是工具 而是敢于试错并坚持输出的勇气 AI工具 AI漫剧 AI漫剧制作 漫剧; 想入行AI漫剧的存下吧 很难找全了 宝藏AI工具站 绘画生成 Midjourney Stable Diffusion Leonardo动画生成 Runway Pika Labs LeiaPix智能配音 剪映AI配音 微软Azure Resemble AI 漫剧创作软件指南 专业级 Adobe After Effects AI插件 Blender新手友好 万兴喵影 来画动画手机快创 必剪 Canva动画 秀漫 插件与模型库 风格模型 Civitai LiblibAI 模型推荐AI增效 Krea实时生成 Topaz Gigapixel自动字幕 剪映智能字幕 Arctime Pro 效率提升神器 提示词管理 Draw Things PromptBase素材整理 Eagle Billfish批量处理 Python脚本 自动化工作流 接单变现通道 主推平台 抖音创作人中心 B站充电计划 淘宝素材店铺练手接单 米画师 站酷海洛 闲鱼商单个人品牌 持续更新AI作品集 多平台账号运营 进阶学习路径 免费教程 AI魔法学院 芦苇科技课 ChatGPT百科系统课程 Udemy AI动画课 Coursera数字叙事实战成长 参加AI创作大赛 接商单打磨技能这些干货现在接住还不晚 其实缺的不是工具 而是敢于试错并坚持输出的勇气 AI工具 AI漫剧 AI漫剧制作 漫剧
AI内容创作,23,67,"燕云十六声, 沈见青, 情蛊, 李遇泽, 短剧, 广播剧, 奇文, 如鸢",0.8012,见手青拍戏是动手又动嘴 山洞强制爱的花絮 情蛊 情蛊荷煜 情蛊广播剧 沈见青 李遇泽 小说男主 AIGC; 李大作家很无奈啊 碰到这么一个粘人的年下小奶狗 情蛊 沈见青 李遇泽 广播剧 二次元动漫 ai生成视频 李大作家很无奈啊 碰到这么一个粘人的年下小奶狗 情蛊 沈见青 李遇泽 广播剧 二次元动漫 ai生成视频
AI学习教程,31,40,"直播话术, 直播运营, 直播技巧, 主播, 直播带货, 直播培训, 主播培训, 直播",0.8775,音乐电台提词器分享 AI实时话术 解决主播在直播间无话可说 利用deepseek模型根据歌曲实时生成话术 一秒生成 实用性高 自动监测歌曲 切歌自动生成 可根据主播个人风格定制不同话术 支持酷狗 网易云 企鹅等多平台播放器 买断制 不计时 软件功能持续更新 AI助手助力你回应弹幕 音乐 电台 怀旧 老歌 主播 小白主播 新人起号 经典老歌电台 怀旧老歌分享 话题 音乐电台提词器分享 AI实时话术 解决主播在直播间无话可说 利用deepseek模型根据歌曲实时生成话术 一秒生成 实用性高 自动监测歌曲 切歌自动生成 可根据主播个人风格定制不同话术 支持酷狗 网易云 企鹅等多平台播放器 买断制 不计时 软件功能持续更新 AI助手助力你回应弹幕 音乐 电台 怀旧 老歌 主播 小白主播 新人起号 经典老歌电台 怀旧老歌分享 直播话术 直播技巧 直播培训 新号起号; 再好用的AI都写不出的共情话术 直播话术 直播带货 直播培训 直播运营 直播起号
AI应用与测评,10,6023,"大模型, llm, 深度学习, lora, token, 大模型学习, 大模型应用, 人工智能",0.9737,大模型春招模拟面 如何搭建一个AI评测体系 AI大模型 大模型 大语言模型 ai 人工智能 程序员 LLM 大模型学习 大模型面试 求职; 大模型春招模拟面 prompt RAG和微调区别 AI大模型 大模型 大语言模型 ai 人工智能 程序员 LLM 大模型学习 RAG 模型微调
AI应用与测评,1,3178,"ai, aigc, ai工具, ai绘画, stable, ai视频, 即梦, ai关键词",0.8796,SD webUI超详细笔记总结 笔记是观看nenly同学的视频合集后自己总结的大家可以参考参考有疑问欢迎评论区交流 AIGC sd webui AI绘画 SD stable diffusion 艺术薯 经验分享 ai绘画生成 stablediffusion; 吐血整理 即梦Ai从 手册 附带提示词 ai绘画 ai关键词 Ai绘画 AI绘画 即梦 即梦ai 即梦AI 即梦ai教程 ai作画 ai关键词
AI应用与测评,2,1240,"gemini, deepseek, banana, pro, nano, ai, nanobanana, ai工具",0.9137,Gemini 直出PPT 好萌好萌提示词 生成chiikawa风格的演示文稿语言记得选简体中文 gemini gemini ppt bananapro; gemini nano banana pro免费会员互助 大家可以尝试图中的方法 如果被修复了 还请大佬在评论区留下还未失效的白嫖的方法 gemini gemini nanobanana nanobananapro AI 大模型
AI应用与测评,3,954,"ai聊天, ai, 梦女, 星野, 人机恋, ai陪伴, 智能体, 乙女向",0.9571,不小心怀上了AI的孩子 是打还是留 梦女 ai聊天 ai恋爱 ai 星野 flai 智能体 人机恋; 终于玩到星野和猫箱的平替了 纯个人向 ai聊天 星野 cyberwave 梦女向 乙女向 梦女 oc mj ai AI 终于玩到星野和猫箱的平替了 纯个人向 ai聊天 星野 cyberwave 梦女向 乙女向 梦女 oc mj ai AI
AI应用与测评,9,327,"qwen, 千问, 通义千问, 阿里千问, max, 千问ai, 大模型, 阿里",0.9613,Qwen Max Thinking来啦 今天 我们正式推出 Qwen Max Thinking 通过增加强化学习算力投入 Qwen Max Thinking 在事实知识广度 复杂推理深度及智能体 Agent 能力上实现显著跃升 在 项权威基准测试中展现出卓越的性能表现 核心创新 自适应工具调用 模型可根据需求动态调用搜索引擎 代码解释器及个性化记忆功能 无需手动切换 交互体验更加自然流畅 测试时扩展技术 TTS 采用多轮迭代的测试时扩展策略 通过 经验提取 机制引导自我反思 显著提升复杂问题的推理效率与准确性 即刻体验 对话体验 登录 chat qwen ai 立即试用 开发者接入 API 已同步上线阿里云百炼 名称 qwen max latest 兼容 OpenAI API 协议 通义 通义实验室 大模型 qwen 通义千问; 阿里的新模型 确实代表了一些新趋势 除夕阿里发布了 Qwen 大年初一一早我就爬起来开始玩 挺有意思的 我看很多人上手就拿它测代码任务 但其实 Qwen 是一款通用模型 类似 GPT 的定位 并不是专门为 Coding 优化的 不知道后面是否会基于 衍生出独立的 Coding 模型 类似 GPT Codex 这样 在这个时间点发布的 Qwen 我想写写 Qwen 这款模型代表的一些整体的行业趋势 第一 原生多模态 去年我们聊原生 Agent 比较多 就是模型从一开始就为 Agent 设计 这个方向行业已经普及了 Qwen 系列就已经是原生 Agent 模型了 这次 Qwen 再往前走一步 直接做成了原生多模态 现在很多模型 包括 Anthropic 旗下的几款模型 虽然他们可以理解视觉输入 但也并不是原生多模态模型 原生多模态模型一定是在预训练阶段就用到了多模态的数据 打个比方 就像我们自己看不见东西 得让旁边一个人告诉图里有什么 然后我再基于他的描述去理解 这中间必然有信息损耗 原生多模态就不一样了 模型自己有眼睛 看完之后直接在脑子里思考 不理解的地方还能回头再看 这样才能做到更充分的理解 举个例子 比如我发一张图片 Qwen 知道纸巾下面是什么 但之前的版本就难回答上来 核心还是因为这些细节很难完整翻译成文字 所以它在现实理解任务上会明显更强 理解图片 理解视频 这种原生多模态的能力 这绝对是一个大方向 第二 推理效率 不知道大家注意到没有 最近 Anthropic 也开始强调速度这件事 现在衡量模型的一个重要标准 是能不能很好地执行长任务 长任务通常比较复杂 所以对推理能力要求高 但如果你能把长任务做出来 却慢得要命 那也不行 大家追求的是又快又好 跟我们人类干活一样 Qwen 在这块下了大功夫 总参数量 亿 但实际跑起来每次只调用 亿参数 在保持能力的同时 优化了速度和成本 具体有多快 在 k 长上下文下 Qwen 的速度是 Qwen Max 的 倍 千问 阿里 AI qwen 千问大模型
AI应用与测评,14,216,"豆包, 豆包ai, 元宝, 豆包app, ai, 豆包电脑版, ai工具, ai关键词",0.8952,AI创作音乐 豆包这波给我看傻了 豆包 豆包app 人工智能 AI 人工智能 豆包ai 豆包电脑版; 豆包 万能出图公式 附带咒语 建议收藏 AIGC 豆包 润色指令 豆包ai ai生图 干货 ai关键词 AI ai绘画
AI应用与测评,21,96,"猫箱, 猫箱捏崽, 猫箱ai, 小宠物大导演, 星野, 周深, 智能体, 我家宠物好可爱",1.0,已买断不分享 猫箱Ai 猫箱捏崽 猫箱 驯服Ai 已买断不分享 猫箱Ai 猫箱捏崽 猫箱 驯服Ai; 投稿定制买断单 不分享 猫箱Ai 猫箱捏崽 猫箱 投稿定制买断单 不分享 猫箱Ai 猫箱捏崽 猫箱
